店舗名,電話番号,メールアドレス,都道府県,市区町村,番地,建物名,URL,SSL
焼肉 サラン,050-5492-9042,,東京都,府中市宮西町,2-7-25,,https://gh69400.gorp.jp/,True
焼肉 のんき,050-5494-2185,,京都府,京都市山科区音羽野田町,27-4,,https://kdtz200.gorp.jp/,True
京焼肉 新 先斗町店,050-5488-1478,,京都府,京都市中京区先斗町通四条上ル松本町,162,,https://ka1v806.gorp.jp/,True
焼肉処 真 桂店,050-5485-3493,,京都府,京都市西京区御陵南荒木町,7-12,,https://shinkatsura.gorp.jp/,True
京焼肉にしき 千本今出川店,050-5488-1233,,京都府,京都市上京区元誓願寺千本東入元,4-402,,https://kam4406.gorp.jp/,True
焼肉ゆらの,0773-45-8429,,京都府,福知山市,堀今岡6,,https://kebn203.gorp.jp/,True
焼肉ホルモン　オンザライス,050-5493-1159,,京都府,京都市伏見区深草西浦町,4-33-2,,https://ke96300.gorp.jp/,True
焼肉処 真 西七条店,050-5486-7483,,京都府,京都市下京区西七条南月読町,1-3,,https://shin-nishinanajo.gorp.jp/,True
焼肉処 真 西大路駅前店,050-5487-9282,,京都府,京都市南区唐橋西平垣町,1-6,,https://ka87106.gorp.jp/,True
京焼肉 蔵 大手筋店,050-5487-6880,,京都府,京都市伏見区新町,5-494-1,,https://kura-otesuji.gorp.jp/,True
焼肉 但馬亭,050-5485-9153,,京都府,京都市伏見区京町,4-154-3,,https://tajimatei.gorp.jp/,True
焼肉の文屋,050-5492-8038,,京都府,京都市下京区朱雀内畑町,2-3,,https://bunya.gorp.jp/,True
焼肉 和牛屋,050-5486-0263,,京都府,京都市南区上鳥羽南中ノ坪町,32,,https://wagyuya.gorp.jp/,True
祇園焼肉 志,075-531-6555,,京都府,京都市東山区新橋花見小路南東角橋本町,398-2,,https://kagh006.gorp.jp/,True
焼肉 あにき,050-5489-5700,,京都府,京都市中京区壬生梛ノ宮町,13-16,,https://kdss800.gorp.jp/,True
焼肉 牛ノ家,050-5484-6357,,京都府,長岡京市神足,1-8-12,,https://kebp600.gorp.jp/,True
焼肉・韓国料理 KollaBo （コラボ） 府中店,042-370-1277,,東京都,府中市府中町,1-3-6,,https://e813236.gorp.jp/,True
焼肉どうらく 京都六角通り店,050-5487-6989,,京都府,京都市中京区松ケ枝町,455,,https://douraku-kyoutorokkakudoori.gorp.jp/,True
焼肉屋 大将,050-5487-5215,,京都府,京都市中京区下樵木町,199-6,,https://taisho-kyoto.gorp.jp/,True
焼肉 元気一番,050-5485-5114,,京都府,相楽郡精華町光台,1-4-1,,https://k491270.gorp.jp/,True
京洛焼肉やぶ,050-5487-6523,,京都府,京都市中京区紙屋町,356-2,,https://kek9400.gorp.jp/,True
焼肉とうざん,050-5488-0655,,京都府,京都市下京区七条御所ノ内本町,100,,https://kefk900.gorp.jp/,True
円山公園 喫茶・カフェ 開花亭,050-5485-8132,,京都府,京都市,東山区祇園町北側円山公園内,,https://k032500.gorp.jp/,True
炭火焼肉ノぶる 西院店,050-5486-1358,,京都府,京都市右京区西院北矢掛町,36-11,,https://bullsaiin.gorp.jp/,True
焼肉酒場マモル,050-5485-4547,,京都府,京都市下京区白楽天町,511-1,,https://kecj400.gorp.jp/,True
京都 焼肉・ホルモン Go‐En＜ゴーエン＞三条新町,050-5487-2775,,京都府,京都市中京区釜座町,36,,https://go-en.gorp.jp/,True
焼肉牛匠 新,050-5494-6568,,京都府,京都市東山区末吉町,95-5,,https://ka1v807.gorp.jp/,True
焼肉・ホルモンいち,050-5489-5630,,京都府,京都市山科区東野門口町,26-5,,https://kc20703.gorp.jp/,True
焼肉 改進亭,050-5493-0241,,京都府,京都市伏見区深草直違橋,6-307,,https://kdu8200.gorp.jp/,True
西院焼肉YUU,050-5485-4604,,京都府,京都市右京区西院西三蔵町,24-1,,https://keck300.gorp.jp/,True
京都焼肉 南大門 宇治槇島店,050-5487-6055,,京都府,宇治市槇島町中川原,207,,https://nandaimon-makishima.gorp.jp/,True
焼肉 八島丹山 本店,050-5487-4449,,京都府,舞鶴市浜,467-2,,https://yashimaniyamahonten.gorp.jp/,True
焼肉 韓日亭,050-5488-1522,,京都府,京都市東山区祇園町北側,347-47,,https://kdhd200.gorp.jp/,True
